,nodeA,nodeB,weight
5262,Darren Wilson,Eric Garner,1
5263,Darren Wilson,John Crawford III,1
5264,Darren Wilson,Levar Jones,1
5265,Darren Wilson,Tamir Rice,1
5266,Brown,Brown,276
5267,Brown,Wilson,216
5268,Brown,Dorian Johnson,24
5269,Brown,DOJ,24
5270,Brown,Johnson,72
5271,Brown,Eric Garner,24
5272,Brown,John Crawford III,24
5273,Brown,Levar Jones,24
5274,Brown,Tamir Rice,24
5275,Wilson,Wilson,36
5276,Dorian Johnson,Wilson,9
5277,DOJ,Wilson,9
5278,Johnson,Wilson,27
5279,Eric Garner,Wilson,9
5280,John Crawford III,Wilson,9
5281,Levar Jones,Wilson,9
5282,Tamir Rice,Wilson,9
5283,DOJ,Dorian Johnson,1
5284,Dorian Johnson,Johnson,3
5285,Dorian Johnson,Eric Garner,1
5286,Dorian Johnson,John Crawford III,1
5287,Dorian Johnson,Levar Jones,1
5288,Dorian Johnson,Tamir Rice,1
5289,DOJ,Johnson,3
5290,DOJ,Eric Garner,1
5291,DOJ,John Crawford III,1
5292,DOJ,Levar Jones,1
5293,DOJ,Tamir Rice,1
5294,Johnson,Johnson,3
5295,Eric Garner,Johnson,3
5296,John Crawford III,Johnson,3
5297,Johnson,Levar Jones,3
5298,Johnson,Tamir Rice,3
5299,Eric Garner,John Crawford III,1
5300,Eric Garner,Levar Jones,1
5301,Eric Garner,Tamir Rice,1
5302,John Crawford III,Levar Jones,1
5303,John Crawford III,Tamir Rice,1
5304,Levar Jones,Tamir Rice,1
5305,Kerry,Lavrov,4
5306,Lavrov,Sergey Lavrov,2
5307,John Kerry,Lavrov,2
5308,Lavrov,Lavrov,1
5309,Kerry,Sergey Lavrov,2
5310,John Kerry,Sergey Lavrov,1
5311,Amy Moreno,Huma,2
5312,Amy Moreno,Anthony,2
5313,Hillary,Huma,1
5314,Anthony,Hillary,1
5315,Anthony,Huma,1
5316,Clinton,Huma,1
5317,Anthony,Clinton,1
5318,Bernie Sanders,Dannel Malloy,1
5319,Barney Frank,Bernie Sanders,1
5320,Bernie Sanders,Frank ,1
5321,Bernie Sanders,Malloy,4
5322,Bernie Sanders,Frank,7
5323,Bernie Sanders,Brad Deutsch,1
5324,Bernie Sanders,Jim Roosevelt,1
5325,Bernie Sanders,Lorraine Miller,1
5326,Bernie Sanders,Debbie Wasserman Schultz,1
5327,Bernie Sanders,Tim Canova,1
5328,Bernie Sanders,Wasserman Schultz,2
5329,Bernie Sanders,Deutsch,2
5330,Bernie Sanders,Tad Devine,1
5331,Bernie Sanders,Devine,1
5332,Bernie Sanders,Leigh Appleby,1
5333,Appleby,Bernie Sanders,1
5334,Dannel Malloy,Hillary Clinton,2
5335,Barney Frank,Hillary Clinton,2
5336,Frank ,Hillary Clinton,2
5337,Hillary Clinton,Malloy,8
5338,Frank,Hillary Clinton,14
5339,Brad Deutsch,Hillary Clinton,2
5340,Hillary Clinton,Jim Roosevelt,2
5341,Hillary Clinton,Lorraine Miller,2
5342,Debbie Wasserman Schultz,Hillary Clinton,2
5343,Hillary Clinton,Tim Canova,2
5344,Hillary Clinton,Wasserman Schultz,4
5345,Deutsch,Hillary Clinton,4
5346,Hillary Clinton,Tad Devine,4
5347,Devine,Hillary Clinton,4
5348,Hillary Clinton,Leigh Appleby,2
5349,Appleby,Hillary Clinton,2
5350,Barney Frank,Dannel Malloy,1
5351,Dannel Malloy,Frank ,1
5352,Dannel Malloy,Malloy,4
5353,Dannel Malloy,Frank,7
5354,Clinton,Dannel Malloy,3
5355,Brad Deutsch,Dannel Malloy,1
5356,Dannel Malloy,Sanders,3
5357,Dannel Malloy,Jim Roosevelt,1
5358,Dannel Malloy,Lorraine Miller,1
5359,Dannel Malloy,Debbie Wasserman Schultz,1
5360,Dannel Malloy,Tim Canova,1
5361,Dannel Malloy,Wasserman Schultz,2
5362,Dannel Malloy,Deutsch,2
5363,Dannel Malloy,Tad Devine,1
5364,Dannel Malloy,Devine,1
5365,Dannel Malloy,Leigh Appleby,1
5366,Appleby,Dannel Malloy,1
5367,Dannel Malloy,Donald Trump,1
5368,Barney Frank,Frank ,1
5369,Barney Frank,Malloy,4
5370,Barney Frank,Frank,7
5371,Barney Frank,Clinton,3
5372,Barney Frank,Brad Deutsch,1
5373,Barney Frank,Sanders,3
5374,Barney Frank,Jim Roosevelt,1
5375,Barney Frank,Lorraine Miller,1
5376,Barney Frank,Debbie Wasserman Schultz,1
5377,Barney Frank,Tim Canova,1
5378,Barney Frank,Wasserman Schultz,2
5379,Barney Frank,Deutsch,2
5380,Barney Frank,Tad Devine,1
5381,Barney Frank,Devine,1
5382,Barney Frank,Leigh Appleby,1
5383,Appleby,Barney Frank,1
5384,Barney Frank,Donald Trump,1
5385,Frank ,Malloy,4
5386,Frank,Frank ,7
5387,Clinton,Frank ,3
5388,Brad Deutsch,Frank ,1
5389,Frank ,Sanders,3
5390,Frank ,Jim Roosevelt,1
5391,Frank ,Lorraine Miller,1
5392,Debbie Wasserman Schultz,Frank ,1
5393,Frank ,Tim Canova,1
5394,Frank ,Wasserman Schultz,2
5395,Deutsch,Frank ,2
5396,Frank ,Tad Devine,1
5397,Devine,Frank ,1
5398,Frank ,Leigh Appleby,1
5399,Appleby,Frank ,1
5400,Donald Trump,Frank ,1
5401,Frank,Malloy,28
5402,Clinton,Malloy,12
5403,Brad Deutsch,Malloy,4
5404,Malloy,Sanders,12
5405,Jim Roosevelt,Malloy,4
5406,Lorraine Miller,Malloy,4
5407,Debbie Wasserman Schultz,Malloy,4
5408,Malloy,Tim Canova,4
5409,Malloy,Wasserman Schultz,8
5410,Deutsch,Malloy,8
5411,Malloy,Malloy,6
5412,Malloy,Tad Devine,4
5413,Devine,Malloy,4
5414,Leigh Appleby,Malloy,4
5415,Appleby,Malloy,4
5416,Donald Trump,Malloy,4
5417,Clinton,Frank,21
5418,Brad Deutsch,Frank,7
5419,Frank,Sanders,21
5420,Frank,Jim Roosevelt,7
5421,Frank,Lorraine Miller,7
5422,Debbie Wasserman Schultz,Frank,7
5423,Frank,Tim Canova,7
5424,Frank,Wasserman Schultz,14
5425,Frank,Frank,21
5426,Deutsch,Frank,14
5427,Frank,Tad Devine,7
5428,Devine,Frank,7
5429,Frank,Leigh Appleby,7
5430,Appleby,Frank,7
5431,Donald Trump,Frank,7
5432,Brad Deutsch,Clinton,3
5433,Clinton,Jim Roosevelt,3
5434,Clinton,Lorraine Miller,3
5435,Clinton,Debbie Wasserman Schultz,3
5436,Clinton,Tim Canova,3
5437,Clinton,Wasserman Schultz,6
5438,Clinton,Deutsch,6
5439,Clinton,Tad Devine,15
5440,Clinton,Devine,15
5441,Clinton,Leigh Appleby,3
5442,Appleby,Clinton,3
5443,Brad Deutsch,Sanders,3
5444,Brad Deutsch,Jim Roosevelt,1
5445,Brad Deutsch,Lorraine Miller,1
5446,Brad Deutsch,Debbie Wasserman Schultz,1
5447,Brad Deutsch,Tim Canova,1
5448,Brad Deutsch,Wasserman Schultz,2
5449,Brad Deutsch,Deutsch,2
5450,Brad Deutsch,Tad Devine,1
5451,Brad Deutsch,Devine,1
5452,Brad Deutsch,Leigh Appleby,1
5453,Appleby,Brad Deutsch,1
5454,Brad Deutsch,Donald Trump,1
5455,Jim Roosevelt,Sanders,3
5456,Lorraine Miller,Sanders,3
5457,Debbie Wasserman Schultz,Sanders,3
5458,Sanders,Tim Canova,3
5459,Sanders,Wasserman Schultz,6
5460,Deutsch,Sanders,6
5461,Sanders,Sanders,4
5462,Sanders,Tad Devine,5
5463,Devine,Sanders,5
5464,Leigh Appleby,Sanders,3
5465,Appleby,Sanders,3
5466,Jim Roosevelt,Lorraine Miller,1
5467,Debbie Wasserman Schultz,Jim Roosevelt,1
5468,Jim Roosevelt,Tim Canova,1
5469,Jim Roosevelt,Wasserman Schultz,2
5470,Deutsch,Jim Roosevelt,2
5471,Jim Roosevelt,Tad Devine,1
5472,Devine,Jim Roosevelt,1
5473,Jim Roosevelt,Leigh Appleby,1
5474,Appleby,Jim Roosevelt,1
5475,Donald Trump,Jim Roosevelt,1
5476,Debbie Wasserman Schultz,Lorraine Miller,1
5477,Lorraine Miller,Tim Canova,1
5478,Lorraine Miller,Wasserman Schultz,2
5479,Deutsch,Lorraine Miller,2
5480,Lorraine Miller,Tad Devine,1
5481,Devine,Lorraine Miller,1
5482,Leigh Appleby,Lorraine Miller,1
5483,Appleby,Lorraine Miller,1
5484,Donald Trump,Lorraine Miller,1
5485,Debbie Wasserman Schultz,Tim Canova,1
5486,Debbie Wasserman Schultz,Wasserman Schultz,2
5487,Debbie Wasserman Schultz,Deutsch,2
5488,Debbie Wasserman Schultz,Tad Devine,1
5489,Debbie Wasserman Schultz,Devine,1
5490,Debbie Wasserman Schultz,Leigh Appleby,1
5491,Appleby,Debbie Wasserman Schultz,1
5492,Debbie Wasserman Schultz,Donald Trump,1
5493,Tim Canova,Wasserman Schultz,2
5494,Deutsch,Tim Canova,2
5495,Tad Devine,Tim Canova,1
5496,Devine,Tim Canova,1
5497,Leigh Appleby,Tim Canova,1
5498,Appleby,Tim Canova,1
5499,Donald Trump,Tim Canova,1
5500,Wasserman Schultz,Wasserman Schultz,1
5501,Deutsch,Wasserman Schultz,4
5502,Tad Devine,Wasserman Schultz,2
5503,Devine,Wasserman Schultz,2
5504,Leigh Appleby,Wasserman Schultz,2
5505,Appleby,Wasserman Schultz,2
5506,Donald Trump,Wasserman Schultz,2
5507,Deutsch,Deutsch,1
5508,Deutsch,Tad Devine,2
5509,Deutsch,Devine,2
5510,Deutsch,Leigh Appleby,2
5511,Appleby,Deutsch,2
5512,Deutsch,Donald Trump,2
5513,Devine,Tad Devine,2
5514,Leigh Appleby,Tad Devine,1
5515,Appleby,Tad Devine,1
5516,Donald Trump,Tad Devine,1
5517,Devine,Leigh Appleby,1
5518,Appleby,Devine,1
5519,Devine,Donald Trump,1
5520,Appleby,Leigh Appleby,1
5521,Donald Trump,Leigh Appleby,1
5522,Appleby,Donald Trump,1
5523,Obama,Valerie Jarrett,3
5524,Jarrett,Obama,15
5525,Ed Murray,Obama,3
5526,Murray,Obama,6
5527,Jon Russell,Obama,3
5528,Obama,Russell,6
5529,Obama,Tom Perez,3
5530,Obama,Perez,12
5531,Obama,Sherry Leiwant,3
5532,John Eichelberger Jr.,Obama,3
5533,Matthew Eshbaugh-Soha,Obama,3
5534,Michael Nutter,Obama,3
5535,Mark McDonald,Obama,3
5536,Bill Greenlee,Obama,3
5537,Greenlee,Obama,3
5538,Jarrett,Valerie Jarrett,5
5539,Ed Murray,Valerie Jarrett,1
5540,Murray,Valerie Jarrett,2
5541,Jon Russell,Valerie Jarrett,1
5542,Russell,Valerie Jarrett,2
5543,Tom Perez,Valerie Jarrett,1
5544,Perez,Valerie Jarrett,4
5545,Sherry Leiwant,Valerie Jarrett,1
5546,John Eichelberger Jr.,Valerie Jarrett,1
5547,Matthew Eshbaugh-Soha,Valerie Jarrett,1
5548,Michael Nutter,Valerie Jarrett,1
5549,Mark McDonald,Valerie Jarrett,1
5550,Bill Greenlee,Valerie Jarrett,1
5551,Greenlee,Valerie Jarrett,1
5552,Ed Murray,Jarrett,5
5553,Jarrett,Murray,10
5554,Jarrett,Jon Russell,5
5555,Jarrett,Russell,10
5556,Jarrett,Jarrett,10
5557,Jarrett,Tom Perez,5
5558,Jarrett,Perez,20
5559,Jarrett,Sherry Leiwant,5
5560,Jarrett,John Eichelberger Jr.,5
5561,Jarrett,Matthew Eshbaugh-Soha,5
5562,Jarrett,Michael Nutter,5
5563,Jarrett,Mark McDonald,5
5564,Bill Greenlee,Jarrett,5
5565,Greenlee,Jarrett,5
5566,Ed Murray,Murray,2
5567,Ed Murray,Jon Russell,1
5568,Ed Murray,Russell,2
5569,Ed Murray,Tom Perez,1
5570,Ed Murray,Perez,4
5571,Ed Murray,Sherry Leiwant,1
5572,Ed Murray,John Eichelberger Jr.,1
5573,Ed Murray,Matthew Eshbaugh-Soha,1
5574,Ed Murray,Michael Nutter,1
5575,Ed Murray,Mark McDonald,1
5576,Bill Greenlee,Ed Murray,1
5577,Ed Murray,Greenlee,1
5578,Murray,Murray,1
5579,Jon Russell,Murray,2
5580,Murray,Russell,4
5581,Murray,Tom Perez,2
5582,Murray,Perez,8
5583,Murray,Sherry Leiwant,2
5584,John Eichelberger Jr.,Murray,2
5585,Matthew Eshbaugh-Soha,Murray,2
5586,Michael Nutter,Murray,2
5587,Mark McDonald,Murray,2
5588,Bill Greenlee,Murray,2
5589,Greenlee,Murray,2
5590,Jon Russell,Russell,2
5591,Jon Russell,Tom Perez,1
5592,Jon Russell,Perez,4
5593,Jon Russell,Sherry Leiwant,1
5594,John Eichelberger Jr.,Jon Russell,1
5595,Jon Russell,Matthew Eshbaugh-Soha,1
5596,Jon Russell,Michael Nutter,1
5597,Jon Russell,Mark McDonald,1
5598,Bill Greenlee,Jon Russell,1
5599,Greenlee,Jon Russell,1
5600,Russell,Russell,1
5601,Russell,Tom Perez,2
5602,Perez,Russell,8
5603,Russell,Sherry Leiwant,2
5604,John Eichelberger Jr.,Russell,2
5605,Matthew Eshbaugh-Soha,Russell,2
5606,Michael Nutter,Russell,2
5607,Mark McDonald,Russell,2
5608,Bill Greenlee,Russell,2
5609,Greenlee,Russell,2
5610,Perez,Tom Perez,4
5611,Sherry Leiwant,Tom Perez,1
5612,John Eichelberger Jr.,Tom Perez,1
5613,Matthew Eshbaugh-Soha,Tom Perez,1
5614,Michael Nutter,Tom Perez,1
5615,Mark McDonald,Tom Perez,1
5616,Bill Greenlee,Tom Perez,1
5617,Greenlee,Tom Perez,1
5618,Perez,Perez,6
5619,Perez,Sherry Leiwant,4
5620,John Eichelberger Jr.,Perez,4
5621,Matthew Eshbaugh-Soha,Perez,4
5622,Michael Nutter,Perez,4
5623,Mark McDonald,Perez,4
5624,Bill Greenlee,Perez,4
5625,Greenlee,Perez,4
5626,John Eichelberger Jr.,Sherry Leiwant,1
5627,Matthew Eshbaugh-Soha,Sherry Leiwant,1
5628,Michael Nutter,Sherry Leiwant,1
5629,Mark McDonald,Sherry Leiwant,1
5630,Bill Greenlee,Sherry Leiwant,1
5631,Greenlee,Sherry Leiwant,1
5632,John Eichelberger Jr.,Matthew Eshbaugh-Soha,1
5633,John Eichelberger Jr.,Michael Nutter,1
5634,John Eichelberger Jr.,Mark McDonald,1
5635,Bill Greenlee,John Eichelberger Jr.,1
5636,Greenlee,John Eichelberger Jr.,1
5637,Matthew Eshbaugh-Soha,Michael Nutter,1
5638,Mark McDonald,Matthew Eshbaugh-Soha,1
5639,Bill Greenlee,Matthew Eshbaugh-Soha,1
5640,Greenlee,Matthew Eshbaugh-Soha,1
5641,Mark McDonald,Michael Nutter,1
5642,Bill Greenlee,Michael Nutter,1
5643,Greenlee,Michael Nutter,1
5644,Bill Greenlee,Mark McDonald,1
5645,Greenlee,Mark McDonald,1
5646,Bill Greenlee,Greenlee,1
5647,LD,Trump,2
5648,Hillary,LD,5
5649,Donald Trump,LD,3
5650,Donald,LD,2
5651,Exactly Flopot,LD,1
5652,LD,Sardonicus,1
5653,LD,Zbigniew Brzezinski,1
5654,Jeremy Corbin,LD,1
5655,Clinton,LD,1
5656,LD,Merkel,1
5657,Harbinger,LD,4
5658,Kevin MacDonald,LD,2
5659,LD,MacDonald,2
5660,LD,"M.O. 
Hell",1
5661,LD,Putin,2
5662,Flopot,LD,1
5663,Amy Martin,LD,1
5664,LD,Podesta,1
5665,Clintons,LD,1
5666,Amy,LD,1
5667,JOHN KIRBY,LD,1
5668,Adriana,LD,2
5669,Donny,LD,1
5670,Ed,LD,1
5671,Donald,Trump,4
5672,Exactly Flopot,Trump,2
5673,Sardonicus,Trump,2
5674,Trump,Zbigniew Brzezinski,2
5675,Jeremy Corbin,Trump,2
5676,Merkel,Trump,2
5677,Harbinger,Trump,8
5678,Kevin MacDonald,Trump,4
5679,MacDonald,Trump,4
5680,"M.O. 
Hell",Trump,2
5681,Putin,Trump,4
5682,Flopot,Trump,2
5683,Amy Martin,Trump,2
5684,Podesta,Trump,2
5685,Clintons,Trump,2
5686,Amy,Trump,2
5687,JOHN KIRBY,Trump,2
5688,Adriana,Trump,4
5689,Donny,Trump,2
5690,Ed,Trump,2
5691,Donald,Hillary,10
5692,Exactly Flopot,Hillary,5
5693,Hillary,Sardonicus,5
5694,Hillary,Zbigniew Brzezinski,5
5695,Hillary,Jeremy Corbin,5
5696,Hillary,Merkel,5
5697,Harbinger,Hillary,20
5698,Hillary,Kevin MacDonald,10
5699,Hillary,MacDonald,10
5700,Hillary,"M.O. 
Hell",5
5701,Hillary,Putin,70
5702,Flopot,Hillary,5
5703,Amy Martin,Hillary,5
5704,Hillary,Podesta,5
5705,Amy,Hillary,5
5706,Hillary,JOHN KIRBY,5
5707,Adriana,Hillary,10
5708,Donny,Hillary,5
5709,Ed,Hillary,5
5710,Donald,Donald Trump,6
5711,Donald Trump,Exactly Flopot,3
5712,Donald Trump,Sardonicus,3
5713,Donald Trump,Zbigniew Brzezinski,3
5714,Donald Trump,Jeremy Corbin,3
5715,Donald Trump,Merkel,3
5716,Donald Trump,Harbinger,12
5717,Donald Trump,Kevin MacDonald,6
5718,Donald Trump,MacDonald,6
5719,Donald Trump,"M.O. 
Hell",3
5720,Donald Trump,Putin,6
5721,Donald Trump,Flopot,3
5722,Amy Martin,Donald Trump,3
5723,Donald Trump,Podesta,3
5724,Clintons,Donald Trump,3
5725,Amy,Donald Trump,3
5726,Donald Trump,JOHN KIRBY,3
5727,Adriana,Donald Trump,6
5728,Donald Trump,Donny,3
5729,Donald Trump,Ed,3
5730,Donald,Donald,1
5731,Donald,Exactly Flopot,2
5732,Donald,Sardonicus,2
5733,Donald,Zbigniew Brzezinski,2
5734,Donald,Jeremy Corbin,2
5735,Clinton,Donald,2
5736,Donald,Merkel,2
5737,Donald,Harbinger,8
5738,Donald,Kevin MacDonald,4
5739,Donald,MacDonald,4
5740,Donald,"M.O. 
Hell",2
5741,Donald,Putin,4
5742,Donald,Flopot,2
5743,Amy Martin,Donald,2
5744,Donald,Podesta,2
5745,Clintons,Donald,2
5746,Amy,Donald,2
5747,Donald,JOHN KIRBY,2
5748,Adriana,Donald,4
5749,Donald,Donny,2
5750,Donald,Ed,2
5751,Exactly Flopot,Sardonicus,1
5752,Exactly Flopot,Zbigniew Brzezinski,1
5753,Exactly Flopot,Jeremy Corbin,1
5754,Clinton,Exactly Flopot,1
5755,Exactly Flopot,Merkel,1
5756,Exactly Flopot,Harbinger,4
5757,Exactly Flopot,Kevin MacDonald,2
5758,Exactly Flopot,MacDonald,2
5759,Exactly Flopot,"M.O. 
Hell",1
5760,Exactly Flopot,Putin,2
5761,Exactly Flopot,Flopot,1
5762,Amy Martin,Exactly Flopot,1
5763,Exactly Flopot,Podesta,1
5764,Clintons,Exactly Flopot,1
5765,Amy,Exactly Flopot,1
5766,Exactly Flopot,JOHN KIRBY,1
5767,Adriana,Exactly Flopot,2
5768,Donny,Exactly Flopot,1
5769,Ed,Exactly Flopot,1
5770,Sardonicus,Zbigniew Brzezinski,1
5771,Jeremy Corbin,Sardonicus,1
5772,Clinton,Sardonicus,1
5773,Merkel,Sardonicus,1
5774,Harbinger,Sardonicus,4
5775,Kevin MacDonald,Sardonicus,2
5776,MacDonald,Sardonicus,2
5777,"M.O. 
Hell",Sardonicus,1
5778,Putin,Sardonicus,2
5779,Flopot,Sardonicus,1
5780,Amy Martin,Sardonicus,1
5781,Podesta,Sardonicus,1
5782,Clintons,Sardonicus,1
5783,Amy,Sardonicus,1
5784,JOHN KIRBY,Sardonicus,1
5785,Adriana,Sardonicus,2
5786,Donny,Sardonicus,1
5787,Ed,Sardonicus,1
5788,Jeremy Corbin,Zbigniew Brzezinski,1
5789,Clinton,Zbigniew Brzezinski,1
5790,Merkel,Zbigniew Brzezinski,1
5791,Harbinger,Zbigniew Brzezinski,4
5792,Kevin MacDonald,Zbigniew Brzezinski,2
5793,MacDonald,Zbigniew Brzezinski,2
5794,"M.O. 
Hell",Zbigniew Brzezinski,1
5795,Putin,Zbigniew Brzezinski,2
5796,Flopot,Zbigniew Brzezinski,1
5797,Amy Martin,Zbigniew Brzezinski,1
5798,Podesta,Zbigniew Brzezinski,1
5799,Clintons,Zbigniew Brzezinski,1
5800,Amy,Zbigniew Brzezinski,1
5801,JOHN KIRBY,Zbigniew Brzezinski,1
5802,Adriana,Zbigniew Brzezinski,2
5803,Donny,Zbigniew Brzezinski,1
5804,Ed,Zbigniew Brzezinski,1
5805,Clinton,Jeremy Corbin,1
5806,Jeremy Corbin,Merkel,1
5807,Harbinger,Jeremy Corbin,4
5808,Jeremy Corbin,Kevin MacDonald,2
5809,Jeremy Corbin,MacDonald,2
5810,Jeremy Corbin,"M.O. 
Hell",1
5811,Jeremy Corbin,Putin,2
5812,Flopot,Jeremy Corbin,1
5813,Amy Martin,Jeremy Corbin,1
5814,Jeremy Corbin,Podesta,1
5815,Clintons,Jeremy Corbin,1
5816,Amy,Jeremy Corbin,1
5817,JOHN KIRBY,Jeremy Corbin,1
5818,Adriana,Jeremy Corbin,2
5819,Donny,Jeremy Corbin,1
5820,Ed,Jeremy Corbin,1
5821,Clinton,Merkel,1
5822,Clinton,Harbinger,4
5823,Clinton,Kevin MacDonald,2
5824,Clinton,MacDonald,2
5825,Clinton,"M.O. 
Hell",1
5826,Clinton,Putin,2
5827,Clinton,Flopot,1
5828,Amy Martin,Clinton,1
5829,Clinton,Podesta,1
5830,Amy,Clinton,1
5831,Clinton,JOHN KIRBY,1
5832,Adriana,Clinton,2
5833,Clinton,Donny,1
5834,Clinton,Ed,1
5835,Harbinger,Merkel,4
5836,Kevin MacDonald,Merkel,2
5837,MacDonald,Merkel,2
5838,"M.O. 
Hell",Merkel,1
5839,Merkel,Putin,2
5840,Flopot,Merkel,1
5841,Amy Martin,Merkel,1
5842,Merkel,Podesta,1
5843,Clintons,Merkel,1
5844,Amy,Merkel,1
5845,JOHN KIRBY,Merkel,1
5846,Adriana,Merkel,2
5847,Donny,Merkel,1
5848,Ed,Merkel,1
5849,Harbinger,Harbinger,6
5850,Harbinger,Kevin MacDonald,8
5851,Harbinger,MacDonald,8
5852,Harbinger,"M.O. 
Hell",4
5853,Harbinger,Putin,8
5854,Flopot,Harbinger,4
5855,Amy Martin,Harbinger,4
5856,Harbinger,Podesta,4
5857,Clintons,Harbinger,4
5858,Amy,Harbinger,4
5859,Harbinger,JOHN KIRBY,4
5860,Adriana,Harbinger,8
5861,Donny,Harbinger,4
5862,Ed,Harbinger,4
5863,Kevin MacDonald,MacDonald,4
5864,Kevin MacDonald,Kevin MacDonald,1
5865,Kevin MacDonald,"M.O. 
Hell",2
5866,Kevin MacDonald,Putin,4
5867,Flopot,Kevin MacDonald,2
5868,Amy Martin,Kevin MacDonald,2
5869,Kevin MacDonald,Podesta,2
5870,Clintons,Kevin MacDonald,2
5871,Amy,Kevin MacDonald,2
5872,JOHN KIRBY,Kevin MacDonald,2
5873,Adriana,Kevin MacDonald,4
5874,Donny,Kevin MacDonald,2
5875,Ed,Kevin MacDonald,2
5876,MacDonald,MacDonald,1
5877,"M.O. 
Hell",MacDonald,2
5878,MacDonald,Putin,4
5879,Flopot,MacDonald,2
5880,Amy Martin,MacDonald,2
5881,MacDonald,Podesta,2
5882,Clintons,MacDonald,2
5883,Amy,MacDonald,2
5884,JOHN KIRBY,MacDonald,2
5885,Adriana,MacDonald,4
5886,Donny,MacDonald,2
5887,Ed,MacDonald,2
5888,"M.O. 
Hell",Putin,2
5889,Flopot,"M.O. 
Hell",1
5890,Amy Martin,"M.O. 
Hell",1
5891,"M.O. 
Hell",Podesta,1
5892,Clintons,"M.O. 
Hell",1
5893,Amy,"M.O. 
Hell",1
5894,JOHN KIRBY,"M.O. 
Hell",1
5895,Adriana,"M.O. 
Hell",2
5896,Donny,"M.O. 
Hell",1
5897,Ed,"M.O. 
Hell",1
5898,Putin,Putin,46
5899,Flopot,Putin,2
5900,Amy Martin,Putin,2
5901,Podesta,Putin,2
5902,Clintons,Putin,2
5903,Amy,Putin,2
5904,JOHN KIRBY,Putin,2
5905,Adriana,Putin,4
5906,Donny,Putin,2
5907,Ed,Putin,2
5908,Amy Martin,Flopot,1
5909,Flopot,Podesta,1
5910,Clintons,Flopot,1
5911,Amy,Flopot,1
5912,Flopot,JOHN KIRBY,1
5913,Adriana,Flopot,2
5914,Donny,Flopot,1
5915,Ed,Flopot,1
5916,Amy Martin,Podesta,1
5917,Amy Martin,Clintons,1
5918,Amy,Amy Martin,1
5919,Amy Martin,JOHN KIRBY,1
5920,Adriana,Amy Martin,2
5921,Amy Martin,Donny,1
5922,Amy Martin,Ed,1
5923,Clintons,Podesta,1
5924,Amy,Podesta,1
5925,JOHN KIRBY,Podesta,1
5926,Adriana,Podesta,2
5927,Donny,Podesta,1
5928,Ed,Podesta,1
5929,Amy,Clintons,1
5930,Clintons,JOHN KIRBY,1
5931,Adriana,Clintons,2
5932,Clintons,Donny,1
5933,Clintons,Ed,1
5934,Amy,JOHN KIRBY,1
5935,Adriana,Amy,2
5936,Amy,Donny,1
5937,Amy,Ed,1
5938,Adriana,JOHN KIRBY,2
5939,Donny,JOHN KIRBY,1
5940,Ed,JOHN KIRBY,1
5941,Adriana,Donny,2
5942,Adriana,Adriana,1
5943,Adriana,Ed,2
5944,Donny,Ed,1
5945,Aziza Hamid,John Kerry,2
5946,John Kerry,Suruc,4
5947,John Kerry,Kiymet Ergun,2
5948,John Kerry,Kurd,2
5949,Cundi Minaz,John Kerry,2
5950,John Kerry,Minaz,2
5951,John Kerry,Kobani,2
5952,John Kerry,Jurf al-Sakhar,2
5953,John Kerry,Junko Ishido,2
5954,John Kerry,Kenji Goto,2
5955,Goto,John Kerry,2
5956,Ayn al-Arab,John Kerry,2
5957,John Kerry,Safi al-Kasasbeh,1
5958,Al-Kasasbeh's,John Kerry,1
5959,John Kerry,Moath al-Kasasbeh,1
5960,John Kerry,Jordan,1
5961,Al-Alam,John Kerry,2
5962,John Kerry,Mohammed Musallam,1
5963,John Kerry,Neve Yaakov,1
5964,John Kerry,Musallam,1
5965,John Kerry,Saddam Hussein,2
5966,John Kerry,Yazidis,2
5967,John Kerry,Ramadi,2
5968,John Kerry,Mohammed Ashraf,1
5969,John Kerry,Prince Faisal bin Khaled bin Abdulaziz,1
5970,John Kerry,Smoke,4
5971,John Kerry,al-Qaryatayn,2
5972,John Kerry,Kweiras,2
5973,Jaafar Saad,John Kerry,1
5974,John Kerry,Sayeda Zeynab,1
5975,Jeff Fortenberry,John Kerry,1
5976,Anna Eshoo,John Kerry,1
5977,Fortenberry,John Kerry,2
5978,ISIL,John Kerry,1
5979,John Kerry,Yezidi,1
5980,John Kerry,Toufic Baaklini,1
5981,Baaklini,John Kerry,1
5982,Cardinal Donald Wuerl,John Kerry,1
5983,John Kerry,Wuerl,1
5984,Aziza Hamid,Aziza Hamid,1
5985,Aziza Hamid,Suruc,8
5986,Aziza Hamid,Kiymet Ergun,4
5987,Aziza Hamid,Kurd,4
5988,Aziza Hamid,Cundi Minaz,4
5989,Aziza Hamid,Minaz,4
5990,Aziza Hamid,Kobani,4
5991,Aziza Hamid,Jurf al-Sakhar,4
5992,Aziza Hamid,Junko Ishido,4
5993,Aziza Hamid,Kenji Goto,4
5994,Aziza Hamid,Goto,4
5995,Ayn al-Arab,Aziza Hamid,4
5996,Aziza Hamid,Safi al-Kasasbeh,2
5997,Al-Kasasbeh's,Aziza Hamid,2
5998,Aziza Hamid,Moath al-Kasasbeh,2
5999,Aziza Hamid,Jordan,2
6000,Al-Alam,Aziza Hamid,4
6001,Aziza Hamid,Mohammed Musallam,2
6002,Aziza Hamid,Neve Yaakov,2
6003,Aziza Hamid,Musallam,2
