,nodeA,nodeB,weight
463,Gadhafi,Trump,32
464,Rachel Maddow,Trump,16
465,Maddow,Trump,48
466,Moammar Gadhafi,Obama,6
467,Matt Lauer,Obama,6
468,Howard Stern,Obama,3
469,Neil Cavuto,Obama,3
470,Cavuto,Obama,6
471,Chris Matthews,Obama,3
472,Joe Scarborough,Obama,3
473,Obama,Obama,34
474,George W. Bush,Obama,16
475,Bush,Obama,53
476,Condoleezza Rice,Obama,3
477,Nouri al-Maliki,Obama,3
478,Leon Panetta,Obama,3
479,Maliki,Obama,3
480,Obama,Raul Castro,3
481,Obama,Salman,3
482,Obama,Ronald Reagan,3
483,Obama,Reagan,8
484,Helmut Kohl,Obama,3
485,Glenn Kessler,Obama,3
486,Kessler,Obama,6
487,Obama,Richard Nixon,3
488,Obama,Zhou Enlai,3
489,Mao,Obama,3
490,Nixon,Obama,3
491,Lauer,Obama,3
492,Obama,Ted Cruz,19
493,Gadhafi,Obama,6
494,Obama,Rachel Maddow,3
495,Maddow,Obama,9
496,Matt Lauer,Moammar Gadhafi,4
497,Howard Stern,Moammar Gadhafi,2
498,Moammar Gadhafi,Neil Cavuto,2
499,Cavuto,Moammar Gadhafi,4
500,Chris Matthews,Moammar Gadhafi,2
501,Joe Scarborough,Moammar Gadhafi,2
502,George W. Bush,Moammar Gadhafi,2
503,Bush,Moammar Gadhafi,8
504,Condoleezza Rice,Moammar Gadhafi,2
505,Moammar Gadhafi,Nouri al-Maliki,2
506,Leon Panetta,Moammar Gadhafi,2
507,Maliki,Moammar Gadhafi,2
508,Moammar Gadhafi,Raul Castro,2
509,Moammar Gadhafi,Salman,2
510,Moammar Gadhafi,Ronald Reagan,2
511,Moammar Gadhafi,Reagan,2
512,Helmut Kohl,Moammar Gadhafi,2
513,Glenn Kessler,Moammar Gadhafi,2
514,Kessler,Moammar Gadhafi,4
515,Moammar Gadhafi,Richard Nixon,2
516,Moammar Gadhafi,Zhou Enlai,2
517,Mao,Moammar Gadhafi,2
518,Moammar Gadhafi,Nixon,2
519,Moammar Gadhafi,Moammar Gadhafi,1
520,Lauer,Moammar Gadhafi,2
521,Moammar Gadhafi,Ted Cruz,2
522,Gadhafi,Moammar Gadhafi,4
523,Moammar Gadhafi,Rachel Maddow,2
524,Maddow,Moammar Gadhafi,6
525,Howard Stern,Matt Lauer,2
526,Matt Lauer,Neil Cavuto,2
527,Cavuto,Matt Lauer,4
528,Chris Matthews,Matt Lauer,2
529,Joe Scarborough,Matt Lauer,2
530,George W. Bush,Matt Lauer,2
531,Matt Lauer,Matt Lauer,1
532,Bush,Matt Lauer,8
533,Condoleezza Rice,Matt Lauer,2
534,Matt Lauer,Nouri al-Maliki,2
535,Leon Panetta,Matt Lauer,2
536,Maliki,Matt Lauer,2
537,Matt Lauer,Raul Castro,2
538,Matt Lauer,Salman,2
539,Matt Lauer,Ronald Reagan,2
540,Matt Lauer,Reagan,2
541,Helmut Kohl,Matt Lauer,2
542,Glenn Kessler,Matt Lauer,2
543,Kessler,Matt Lauer,4
544,Matt Lauer,Richard Nixon,2
545,Matt Lauer,Zhou Enlai,2
546,Mao,Matt Lauer,2
547,Matt Lauer,Nixon,2
548,Lauer,Matt Lauer,2
549,Matt Lauer,Ted Cruz,2
550,Gadhafi,Matt Lauer,4
551,Matt Lauer,Rachel Maddow,2
552,Maddow,Matt Lauer,6
553,Howard Stern,Neil Cavuto,1
554,Cavuto,Howard Stern,2
555,Chris Matthews,Howard Stern,1
556,Howard Stern,Joe Scarborough,1
557,George W. Bush,Howard Stern,1
558,Bush,Howard Stern,4
559,Condoleezza Rice,Howard Stern,1
560,Howard Stern,Nouri al-Maliki,1
561,Howard Stern,Leon Panetta,1
562,Howard Stern,Maliki,1
563,Howard Stern,Raul Castro,1
564,Howard Stern,Salman,1
565,Howard Stern,Ronald Reagan,1
566,Howard Stern,Reagan,1
567,Helmut Kohl,Howard Stern,1
568,Glenn Kessler,Howard Stern,1
569,Howard Stern,Kessler,2
570,Howard Stern,Richard Nixon,1
571,Howard Stern,Zhou Enlai,1
572,Howard Stern,Mao,1
573,Howard Stern,Nixon,1
574,Howard Stern,Lauer,1
575,Howard Stern,Ted Cruz,1
576,Gadhafi,Howard Stern,2
577,Howard Stern,Rachel Maddow,1
578,Howard Stern,Maddow,3
579,Cavuto,Neil Cavuto,2
580,Chris Matthews,Neil Cavuto,1
581,Joe Scarborough,Neil Cavuto,1
582,George W. Bush,Neil Cavuto,1
583,Bush,Neil Cavuto,4
584,Condoleezza Rice,Neil Cavuto,1
585,Neil Cavuto,Nouri al-Maliki,1
586,Leon Panetta,Neil Cavuto,1
587,Maliki,Neil Cavuto,1
588,Neil Cavuto,Raul Castro,1
589,Neil Cavuto,Salman,1
590,Neil Cavuto,Ronald Reagan,1
